"box_id","area"
0,3240673316.88797
1,106806829.725752
2,519337918.893032
3,980039701.972534
4,2082502102.07501
5,2653668144
6,2049625150.00279
7,3327855765.95099
8,72205534906.4158
9,2518967055.67049
10,370735402.074802
11,683519586.419608
12,5008071739.12148
13,9841219601.79769
14,1756802994.97236
15,1401106104.17503
16,3516736616.53414
17,4062761369.74326
18,8094212691.34514
19,1349933089.87264
20,1192079337.72757
21,5091086351.91626
22,2480367725.90607
23,1773771882.09927
24,8401945053.63806
25,9190166815.29132
26,2341064242.26944
27,5562380684.61486
28,3010855203.13972
29,7416598103.52176
30,24428326905.2931
31,5857429951.0845
32,1119995182.00964
33,3893150652.50859
34,4463217265.85815
35,6892168769.17299
36,794646608.003532
37,7410649843.13682
38,3707498529.81994
39,5708384923.9537
40,18051483732.1677
41,651386194.835818
42,4197810665.9767
43,1938131922.15494
44,1749194308.83094
45,7094220633.88869
46,5381701097.10845
47,5672273830.60886
48,16998653360.7626
49,3507355337.59283
50,4385172450.32522
51,6634741252.88129
52,3810029785.43801
53,26513255763.7921
54,741576960.647276
55,11171607215.8746
56,5078698611.76031
57,115732532.622457
58,46954926.6406059
59,2200200689.46931
60,926311066.868354
61,1779111320.59089
62,46102383.0601501
63,31402080.4309678
64,5434355586.83354
65,1057533396.50943
66,1064645986.81325
67,5997441849.15593
68,818599758.056763
69,51672343236.1219
70,872096209.938568
71,4835380097.27962
72,1859450614.13299
73,1555879429.95101
74,5394710883.81437
75,4263104554.57742
76,3083221476.50867
77,683647865.465084
78,3393995273.59353
79,11335192990.9494
80,935676816.92071
81,53079097085.9861
82,1804598205.3474
83,2331259719.02646
84,1741962746.98637
85,3562606320.22083
86,71705327.0380926
87,1180091189.56104
88,7159618321.78726
89,2223438265.88608
90,4402209147.25205
91,1557053176.10983
92,2974321427.94154
93,2563546367.34087
94,3008077243.52246
95,33566329248.7906
96,1449564741.11473
97,776626673.685501
98,3240491903.40835
99,14680078933.3438
100,7659055919.73798
101,4538264987.49061
102,7918721517.12514
103,5499425737.79785
104,8675054214.72655
105,2434204537.89687
106,3006607993.8876
107,9494499611.00034
108,4765183513.83047
