Species,Topt,Tmax,q10
Arrowtooth flounder,20.51,26,2.5
Big skate,12.11,17.3,2.36
Capelin,10,15,2.6
Deep demersal fish,8.09,11.56,2.36
Deep-water flatfish,12.11,17.3,2.36
Eulachon,10,15,2.6
Flathead sole,12.11,17.3,2.36
Forage fish - slope,10,15,2.6
Large sculpins,7.19,10.27,2.36
Longnose skate,12.83,18.32,2.36
Other skate,10.27,14.67,2.36
Pacific Ocean Perch,12.11,17.3,2.36
Pacific cod,13.7,21,2.41
Pacific hake,18.96,27.09,2.36
Pacific halibut,12.97,18,3.08
Pacific herring,10,15,2.6
Rex sole,12.11,17.3,2.36
Rockfish - demersal shelf,12.11,17.3,2.36
Rockfish - pelagic shelf assemblage,13.34,19.06,2.36
Rockfish - slope assemblage,8.88,12.68,2.36
Sablefish,12.11,17.3,2.36
Salmon chinook,13.34,19.06,2.36
Salmon chum,13.67,19.53,2.36
Salmon coho,18.96,27.09,2.36
Salmon pink,13.34,19.06,2.36
Salmon sockeye,8.96,12.8,2.36
Sand lance,10,15,2.6
Shallow demersal fish,14.2,20.29,2.36
Shallow-water flatfish,9.73,13.91,2.36
Thornyhead,19.05,27.22,2.36
Walleye pollock,10,15,2.6
